sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;utter-project_EuroLLM-22B-2512_correct_nll;utter-project_EuroLLM-22B-2512_incorrect_nll;utter-project_EuroLLM-22B-2512_certainty;utter-project_EuroLLM-22B-2512_decision
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Miestas sukrėstas protestų.;Miestas sukrėstas protestais.; ;;ChatGPT;;4.847379684448242;5.316182613372803;0.46880292892456055;correct
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Piešinys buvo įkvėptas gamtos vaizdų.;Piešinys buvo įkvėptas gamtos vaizdais.; ;;ChatGPT;;2.861696481704712;3.195523738861084;0.33382725715637207;correct
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Ji buvo priblokšta savo pasiekimų.;Ji buvo priblokšta savo pasiekimais.; ;;ChatGPT;;4.772243499755859;4.8349809646606445;0.06273746490478516;correct
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Komanda buvo įkvėpta trenerio patarimų.;Komanda buvo įkvėpta trenerio patarimais.; ;;ChatGPT;;4.7042670249938965;5.0641703605651855;0.35990333557128906;correct
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Vaikai yra išties sužavėti mokytojų pasakojimų.;Vaikai yra išties sužavėti mokytojų pasakojimais.; ;;ChatGPT;;3.440965175628662;3.5037894248962402;0.06282424926757812;correct
68.0;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Buvome nuliūdinti tokio jo elgesio.;Buvome nuliūdinti tokiu jo elgesiu.; ;;vlkk;;4.010027885437012;4.251218318939209;0.24119043350219727;correct
69.0;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Šio leidinio steigėjas yra mūsų institutas.;Šio leidinio steigėju yra mūsų institutas.; ;;vlkk;;4.7421040534973145;4.531818389892578;-0.21028566360473633;incorrect
70.0;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Sprendžiant iš akcento, jis galėjo būti prancūzas. ;Sprendžiant iš akcento, jis galėjo būti prancūzu. ; ;;vlkk;;3.1839346885681152;3.321512460708618;0.13757777214050293;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Mes esame šios komisijos nariai.;Mes esame šios komisijos nariais.; ;;internet;http://web.vu.lt › flf › 2014/03 › SK_2015_linksniai;5.363640785217285;5.261071681976318;-0.1025691032409668;incorrect
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Finansavimo šaltinis yra paramos fondas.;Finansavimo šaltiniu yra paramos fondas.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;4.253593444824219;4.5681352615356445;0.3145418167114258;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Tas mokinys jam buvo geras draugas.;Tas mokinys jam buvo geru draugu.; ;;ChatGPT;;4.790354251861572;5.401287078857422;0.6109328269958496;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Šis miestas yra sostinė.;Šis miestas yra sostine.; ;;ChatGPT;;5.354639530181885;6.08472204208374;0.7300825119018555;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Naujasis pastatas yra muziejus.;Naujasis pastatas yra muziejumi.; ;;ChatGPT;;4.456306457519531;5.130075931549072;0.673769474029541;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Jis yra profesionalus sportininkas.;Jis yra profesionaliu sportininku.; ;;ChatGPT;;4.99948787689209;4.478496551513672;-0.520991325378418;incorrect
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Biologijos pamokoje visi buvo aktyvūs dalyviai.;Biologijos pamokoje visi buvo aktyviais dalyviais.; ;;ChatGPT;;3.581810235977173;3.888418197631836;0.3066079616546631;correct
71.0;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Kas buvo šios infekcijos priežastis?;Kas buvo šios infekcijos priežastimi?; ;;vlkk;;4.207927703857422;4.633050918579102;0.4251232147216797;correct
72.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Sąraše jis buvo pirmasis, todėl atrodė toks patenkintas. ;Sąraše jis buvo pirmuoju, todėl atrodė tokiu patenkintu. ; ;;vlkk;;4.01875638961792;4.037639617919922;0.018883228302001953;correct
73.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Kas nenori tapti turtingesnis?;Kas nenori tapti turtingesniu?; ;;vlkk;;4.007384300231934;4.013479709625244;0.006095409393310547;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Pagrindinė derybų tema bus šilumos ūkio investicijos.;Pagrindine derybų tema bus šilumos ūkio investicijos.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;4.467907905578613;4.637746810913086;0.16983890533447266;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Kiekvienas nori būti laimingas.;Kiekvienas nori būti laimingu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1005;3.183755397796631;3.827563524246216;0.643808126449585;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Pirmas bus svarstomas klausimas dėl lėšų skyrimo.;Pirmu bus svarstomas klausimas dėl lėšų skyrimo.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1006;3.856693744659424;4.0231828689575195;0.1664891242980957;correct
74.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;2;instead of the genitive;Vien pinigai nepadaro žmogaus laimingo.;Vien pinigai nepadaro žmogaus laimingu.; ;;vlkk;;3.6800975799560547;3.8001296520233154;0.12003207206726074;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;2;instead of the genitive;Visa tai nepalieka mūsų abejingų.;Visa tai nepalieka mūsų abejingais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1006;3.708104372024536;3.4354143142700195;-0.2726900577545166;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;2;instead of the genitive;Niekas negali versti kito būti visada atsakingo.;Niekas negali versti kito būti visada atsakingu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1007;3.9801852703094482;4.210666179656982;0.23048090934753418;correct
75.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Lengva žmogui būti geram, sunkiau – teisingam. ;Lengva žmogui būti geru, sunkiau – teisingu. ; ;;vlkk;;3.2210822105407715;3.497303009033203;0.27622079849243164;correct
76.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Tai padėtų jam tapti profesionalesniam.;Tai padėtų jam tapti profesionalesniu.; ;;vlkk;;4.926140785217285;5.451929569244385;0.5257887840270996;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Gera būti sveikiems.;Gera būti sveikais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1007;6.7631683349609375;6.913351058959961;0.15018272399902344;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Malonu būti pagirtiems.;Malonu būti pagirtais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1008;5.696752071380615;5.78265905380249;0.085906982421875;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Jiems grėsė pavojus būti sulaikytiems.;Jiems grėsė pavojus būti sulaikytais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1009;3.0799946784973145;3.6573383808135986;0.5773437023162842;correct
77.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Sunkumai privertė ją būti taupesnę ir išradingesnę.;Sunkumai privertė ją būti taupesne ir išradingesne.; ;;vlkk;;3.761382579803467;3.903440475463867;0.1420578956604004;correct
78.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Kas jį tokį padarė?;Kas jį tokiu padarė?; ;;vlkk;;4.22696590423584;4.208599090576172;-0.01836681365966797;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Šių reikalavimų nesilaikymas daro sutartis negaliojančias.;Šių reikalavimų nesilaikymas daro sutartis negaliojančiomis.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1010;2.6358296871185303;2.4548590183258057;-0.1809706687927246;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Mes stengiamės renginį padaryti linksmesnį, įdomesnį.;Mes stengiamės renginį padaryti linksmesniu, įdomesniu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1011;3.135283946990967;3.3129215240478516;0.17763757705688477;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Sprendimą jie paliko nepakeistą.;Sprendimą jie paliko nepakeistu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1012;4.793463706970215;5.237030029296875;0.44356632232666016;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Visus kviečiame būti vieningus.;Visus kviečiame būti vieningais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1013;4.3864641189575195;4.313910961151123;-0.07255315780639648;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Baudos verčia vairuotojus būti drausmingus.;Baudos verčia vairuotojus būti drausmingais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1014;4.3427300453186035;4.2713518142700195;-0.07137823104858398;incorrect
79.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Jį laikė gražiu, bet lengvabūdišku.;Jį laikė gražų, bet lengvabūdišką.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;vlkk;;3.0302765369415283;3.2531423568725586;0.22286581993103027;correct
80.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Jis padėtį pavadino pavojinga.;Jis padėtį pavadino pavojingą.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;vlkk;;4.966652870178223;5.097538471221924;0.13088560104370117;correct
81.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Teismas jį pripažino nekaltu.;Teismas jį pripažino nekaltą.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;vlkk;;3.8298099040985107;4.358880043029785;0.5290701389312744;correct
82.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Po dvejų metų jaunuolį paskelbė dingusiu be žinios.;Po dvejų metų jaunuolį paskelbė dingusį be žinios.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.;ADDED THE INCORRECT ONE, but both are OK depending on the context. The incorrect one is more old school.;vlkk;;3.7316012382507324;3.8152832984924316;0.08368206024169922;correct
83.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Jam netikėtai kilo puiki mintis.;Jame netikėtai kilo puiki mintis.; ;;vlkk;;4.567679405212402;4.417754173278809;-0.14992523193359375;incorrect
84.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Mokytoja nuolat diegia savo mokiniams grožio supratimą ir ugdo jų gėrio pradus.;Mokytoja nuolat diegia savo mokiniuose grožio supratimą ir ugdo juose gėrio pradus.; ;;vlkk;;3.396165609359741;3.3570659160614014;-0.039099693298339844;incorrect
85.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Kas jis labiau – humoristas ar žurnalistas?;Ko jame daugiau – humoristo ar žurnalisto?; ;;vlkk;;4.496395587921143;5.320791244506836;0.8243956565856934;correct
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Dauguma žmonių įžvelgia kito žmogaus klaidas.;Dauguma žmonių įžvelgia klaidas kitame žmoguje.; ;;internet;https://www.kurstoti.lt/s/13594/dazniausios-sintakses-sakiniu-sandaros-klaidos-abiturientu-vbe-rasiniuose;4.428702354431152;3.7101736068725586;-0.7185287475585938;incorrect
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Jam vis labiau stiprėjo nerimas dėl artėjančio egzamino.;Jame vis labiau stiprėjo nerimas dėl artėjančio egzamino.; ;;ChatGPT;;3.97397518157959;3.9461939334869385;-0.027781248092651367;incorrect
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Studentams kilo susidomėjimas nauju kursu.;Studentuose kilo susidomėjimas nauju kursu.; ;;ChatGPT;;5.650176048278809;6.004570007324219;0.35439395904541016;correct
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Vaikams ėmė rastis baimė dėl tamsos.;Vaikuose ėmė rastis baimė dėl tamsos.; ;;ChatGPT;;3.462731122970581;3.497079610824585;0.034348487854003906;correct
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Direktoriui sukilo abejonės dėl projekto sėkmės.;Direktoriuje sukilo abejonės dėl projekto sėkmės.; ;;ChatGPT;;3.898592233657837;4.596435070037842;0.6978428363800049;correct
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Tėvams pabudo įtarimas, kad kažkas negerai.;Tėvuose pabudo įtarimas, kad kažkas negerai.; ;;ChatGPT;;2.7433109283447266;2.8982245922088623;0.15491366386413574;correct
86.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Dar vaikystėje susiformavo būsimojo sportininko tvirtas charakteris.;Dar vaikystėje būsimajame sportininke susiformavo tvirtas charakteris.; ;;vlkk;;3.2321386337280273;3.075524091720581;-0.1566145420074463;incorrect
87.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Ji gabi ir mokslui, ir sportui, ir muzikai.;Ji gabi ir moksle, ir sporte, ir muzikoje.; ;;vlkk;;4.721899509429932;4.714357852935791;-0.007541656494140625;incorrect
88.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Spėjau įsitikinti jų teisingumu ir sąžiningumu.;Spėjau įsitikinti jų teisingume ir sąžiningume.; ;;vlkk;;3.5879569053649902;4.151766777038574;0.563809871673584;correct
89.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Asmuo įtariamas sunkiu nusikaltimu.;Asmuo įtariamas sunkiame nusikaltime.; ;;vlkk;;2.7010433673858643;3.3554165363311768;0.6543731689453125;correct
90.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Menkai nusimanau apie mašinas.;Menkai nusimanau mašinose.; ;;vlkk;;5.574265956878662;5.798699378967285;0.22443342208862305;correct
91.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Jis neblogai nusimano apie ekonomiką.;Jis neblogai nusimano ekonomikoje.; ;;vlkk;;3.656599521636963;3.9391753673553467;0.2825758457183838;correct
92.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Ką jis nutuokia apie tą tapybą?;Ką jis nutuokia toje tapyboje?; ;;vlkk;;4.1038079261779785;4.264775276184082;0.16096735000610352;correct
;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Daug žinau apie istoriją.;Daug žinau istorijoje.; ;;ChatGPT;;5.607272148132324;7.6296563148498535;2.0223841667175293;correct
;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Jis labai patyręs finansų srityje.;Jis labai patyręs finansuose.; ;;ChatGPT;;4.702730178833008;5.59226131439209;0.889531135559082;correct
;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Ji nuolat tobulėja viešojo kalbėjimo srityje.;Ji nuolat tobulėja viešajame kalbėjime.; ;;ChatGPT;;4.895790100097656;4.631745338439941;-0.26404476165771484;incorrect
93.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Prisipažino mylįs.;Prisipažino meilėje.; ;;vlkk;;4.647571563720703;5.232924461364746;0.585352897644043;correct
94.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;1;apimtyje;Atlikome plačios apimties tyrimus.;Atlikome tyrimus plačioje apimtyje.; ;;vlkk;;3.644709587097168;4.466308116912842;0.8215985298156738;correct
95.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;2;atstume;Kelių metrų atstumu pamačiau gyvatę.;Kelių metrų atstume pamačiau gyvatę.; ;;vlkk;;3.3603944778442383;3.5610544681549072;0.20065999031066895;correct
96.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;3;aukštumoje;Vakar tu pasirodei gerai.;Vakar tu pasirodei aukštumoje.; ;;vlkk;;6.663143634796143;6.00775671005249;-0.6553869247436523;incorrect
97.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;4;būklėje;Pastatai palikti apgailėtinos būklės.;Pastatai palikti apgailėtinoje būklėje.; ;;vlkk;;3.361342430114746;3.1470348834991455;-0.21430754661560059;incorrect
98.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;4;būklėje;Namas yra avarinės būklės.;Namas yra avarinėje būklėje.; ;;vlkk;;5.902029514312744;5.672245025634766;-0.22978448867797852;incorrect
99.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;5;dvitomyje;Raštai išleisti dvitomiu.;Raštai išleisti dvitomyje.; ;;vlkk;;4.452391147613525;3.8714370727539062;-0.5809540748596191;incorrect
100.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;6;egzemplioriuje;Tekstas perrašytas trimis egzemplioriais.;Tekstas perrašytas trijuose egzemplioriuose.; ;;vlkk;;3.675271987915039;3.3368241786956787;-0.33844780921936035;incorrect
101.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;6;egzemplioriuje;Išspausdink penkis egzempliorius.;Išspausdink penkiuose egzemplioriuose.; ;;vlkk;;3.520005226135254;3.317103147506714;-0.20290207862854004;incorrect
102.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;7;etate;Dirba dviem etatais.;Dirba dviejuose etatuose.; ;;vlkk;;5.635463237762451;3.9240527153015137;-1.7114105224609375;incorrect
103.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;8;formoje;Sportininkas šiandien blogos formos.;Sportininkas šiandien ne formoje.; ;;vlkk;;7.1158599853515625;6.808774471282959;-0.3070855140686035;incorrect
104.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;8;formoje;Serga tymais lengva forma.;Serga tymais lengvoje formoje.; ;;vlkk;;7.130588531494141;5.70815372467041;-1.4224348068237305;incorrect
105.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;8;formoje;Kokia forma atsiskaitysime?;Kokioje formoje atsiskaitysime?; ;;vlkk;;4.43084716796875;4.0966596603393555;-0.33418750762939453;incorrect
106.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;8;formoje;Nusipirkau forminio kumpio.;Nusipirkau kumpio formoje.; ;;vlkk;;4.775139808654785;4.9315924644470215;0.15645265579223633;correct
107.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;9;galioje;Šis įstatymas tebegalioja.;Šis įstatymas tebėra galioje.; ;;vlkk;;4.167255401611328;4.430474281311035;0.26321887969970703;correct
108.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;10;kalboje;Skaitė paskaitą lietuvių kalba.;Skaitė paskaitą lietuvių kalboje.; ;;vlkk;;4.4511237144470215;4.344849586486816;-0.10627412796020508;incorrect
109.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;10;kalboje;Knyga išėjo anglų ir švedų kalbomis.;Knyga išėjo anglų ir švedų kalbose.; ;;vlkk;;3.1808435916900635;3.606898307800293;0.4260547161102295;correct
110.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;11;kame;Koks čia reikalas?;Kame čia reikalas?; ;;vlkk;;3.978961944580078;6.228123188018799;2.2491612434387207;correct
111.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;12;kryptyje;Apgynė edukologijos krypties disertaciją.;Apgynė disertaciją edukologijos kryptyje.; ;;vlkk;;3.2026400566101074;3.336169719696045;0.1335296630859375;correct
112.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;13;lygyje;Konkursas buvo aukšto lygio.;Konkursas vyko aukštame lygyje.; ;;vlkk;;4.407175064086914;4.4907708168029785;0.08359575271606445;correct
113.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;14;medžiagoje;Tas paminklas, nukaltas iš granito, yra nesugriaunamas ir nesunaikinamas.;Tas paminklas, nukaltas granite, yra nesugriaunamas ir nesunaikinamas.; ;Created a full sentence by looking at the corpus.;vlkk;;3.080073595046997;3.2594196796417236;0.17934608459472656;correct
114.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;14;medžiagoje;Jis pasišovė nulieti skulptūrą iš bronzos.;Jis pasišovė nulieti skulptūrą bronzoje.; ;Created a full sentence by looking at the corpus.;vlkk;;3.9932332038879395;5.024083614349365;1.0308504104614258;correct
115.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;15;normoje;Prietaisas jau veikia normaliai.;Prietaisas jau normoje.; ;;vlkk;;4.811432838439941;5.290788650512695;0.4793558120727539;correct
116.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;15;normoje;Jo kraujospūdis normalus.;Jo kraujospūdis normoje.; ;Added 'Jo' to make a full sentence.;vlkk;;4.752776622772217;4.783063888549805;0.03028726577758789;correct
117.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;15;normoje;Darbe viskas normalu.;Darbe viskas normoje.; ;Added 'Darbe' to make a full sentence.;vlkk;;6.603252410888672;5.974945545196533;-0.6283068656921387;incorrect
118.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;16;nuosavybėje;Inventorius yra mokyklos nuosavybė.;Inventorius yra mokyklos nuosavybėje.; ;;vlkk;;5.280871391296387;5.958596706390381;0.6777253150939941;correct
119.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;17;nuotaikoje;Vakar buvau be nuotaikos.;Vakar buvau ne nuotaikoje.; ;;vlkk;;4.791886806488037;5.346114635467529;0.5542278289794922;correct
