sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;Qwen_Qwen3-30B-A3B-Base_correct_nll;Qwen_Qwen3-30B-A3B-Base_incorrect_nll;Qwen_Qwen3-30B-A3B-Base_certainty;Qwen_Qwen3-30B-A3B-Base_decision
60.0;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Fonotekoje gausėja įrašų.;Fonoteka gausėja įrašais.; ;;vlkk;;3.4950592517852783;3.5251617431640625;0.03010249137878418;correct
61.0;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Kišenės prikimštos pinigų.;Kišenės prikimštos pinigais.; ;;vlkk;;3.150193452835083;2.96955943107605;-0.1806340217590332;incorrect
;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Stalas prikrautas bylų.;Stalas prikrautas bylomis.; ;;internet;http://web.vu.lt › flf › 2014/03 › SK_2015_linksniai;4.853402137756348;4.599517345428467;-0.25388479232788086;incorrect
;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Maistas prisotintas vitaminų.;Maistas prisotintas vitaminais.; ;;internet;http://web.vu.lt › flf › 2014/03 › SK_2015_linksniai;4.143299102783203;4.326253414154053;0.1829543113708496;correct
;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Širdis prisipildė sielvarto.;Širdis prisipildė sielvartu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;2.9936554431915283;3.116029739379883;0.12237429618835449;correct
;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Šaldytuvas pripildytas maisto produktų.;Šaldytuvas pripildytas maisto produktais.; ;;ChatGPT;;2.6424529552459717;2.5737924575805664;-0.06866049766540527;incorrect
;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Talpykla prisotinta vandens.;Talpykla prisotinta vandeniu.; ;;ChatGPT;;6.33824348449707;6.266851425170898;-0.07139205932617188;incorrect
;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Spinta prikimšta drabužių.;Spinta prikimšta drabužiais.; ;;ChatGPT;;4.273232936859131;4.76242208480835;0.48918914794921875;correct
;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Virtuvė prisotinta kvapų.;Virtuvė prisotinta kvapais.; ;;ChatGPT;;4.038946628570557;3.8081188201904297;-0.23082780838012695;incorrect
;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Vaikų kambarys gausėja žaislų.;Vaikų kambarys gausėja žaislais.; ;;ChatGPT;;2.902625560760498;2.7611541748046875;-0.14147138595581055;incorrect
62.0;1;Use of Cases;5;3.5 Instrumental case;1;3.5.1. Instrumental case should not be used to express the object with verbs denoting fullness or increase.;1;;Lentynos prikrautos knygų.;Lentynos prikrautos knygomis.; ;;vlkk;;5.507476806640625;5.246585369110107;-0.2608914375305176;incorrect
63.0;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Jis dosnus pažadų.;Jis dosnus pažadais.; ;;vlkk;;6.127236366271973;6.1759185791015625;0.048682212829589844;correct
64.0;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Krašte gausu miškų ir upių.;Kraštas gausus miškais ir upėmis.; ;;vlkk;;4.757222652435303;3.1372828483581543;-1.6199398040771484;incorrect
65.0;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Praėjusį teatro sezoną buvo daug naujų spektaklių.;Praėjęs teatro sezonas buvo turtingas naujais spektakliais.; ;;vlkk;;2.2640745639801025;2.489173650741577;0.2250990867614746;correct
;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Renginys gausus svečių.;Renginys gausus svečiais.; ;;internet;http://web.vu.lt › flf › 2014/03 › SK_2015_linksniai;4.71602201461792;5.653473854064941;0.9374518394470215;correct
;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Miestas pilnas gyventojų.;Miestas pilnas gyventojais.; ;;ChatGPT;;4.0662736892700195;4.931977272033691;0.8657035827636719;correct
;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Biblioteka turtinga knygų.;Biblioteka turtinga knygomis.; ;;ChatGPT;;5.376940727233887;5.359849452972412;-0.01709127426147461;incorrect
;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Mano draugai turtingi patarimų.;Mano draugai turtingi patarimais.; ;;ChatGPT;;3.942467451095581;3.9021875858306885;-0.04027986526489258;incorrect
;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Šis stalas nukrautas vaisių.;Šis stalas nukrautas vaisiais.; ;;ChatGPT;;3.7466413974761963;3.6747162342071533;-0.07192516326904297;incorrect
;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Mamatė turtinga gerumo ir šilumos.;Mamatė turtinga gerumu ir  šiluma.; ;;internet;https://www.kurstoti.lt/s/13594/dazniausios-sintakses-sakiniu-sandaros-klaidos-abiturientu-vbe-rasiniuose;4.4106574058532715;5.372711181640625;0.9620537757873535;correct
;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Koncertas turtingas remėjų.;Koncertas turtingas remėjais.; ;;ChatGPT;;4.2765069007873535;4.441125392913818;0.16461849212646484;correct
66.0;1;Use of Cases;5;3.5 Instrumental case;2;3.5.2 Instrumental case should not be used to express content of quality with adjectives denoting abundance.;1;;Ar esi turtingas pinigų?;Ar esi turtingas pinigais?; ;;vlkk;;5.588057041168213;5.683751106262207;0.09569406509399414;correct
67.0;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Bičiulis buvo priblokštas to įvykio. ;Bičiulis buvo priblokštas tuo įvykiu. ; ;;vlkk;;3.085679769515991;3.181729316711426;0.09604954719543457;correct
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Mes sukrėsti jo nelaimių.;Mes sukrėsti jo nelaimėmis.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;4.891859531402588;4.825503826141357;-0.06635570526123047;incorrect
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Šalis užimta priešo pajėgų.;Šalis užimta priešo pajėgomis.; ;;internet;https://www.nsa.smsm.lt/wp-content/uploads/2025/07/VERTINIMO-GAIRES-2022-koreguotos.pdf;3.426801919937134;3.2621891498565674;-0.1646127700805664;incorrect
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Vaikas buvo sužavėtas naujo žaislo.;Vaikas buvo sužavėtas nauju žaislu.; ;;ChatGPT;;2.333522081375122;2.541722297668457;0.20820021629333496;correct
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Miestas sukrėstas protestų.;Miestas sukrėstas protestais.; ;;ChatGPT;;4.322820663452148;4.411552429199219;0.08873176574707031;correct
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Piešinys buvo įkvėptas gamtos vaizdų.;Piešinys buvo įkvėptas gamtos vaizdais.; ;;ChatGPT;;2.800201416015625;2.813947916030884;0.013746500015258789;correct
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Ji buvo priblokšta savo pasiekimų.;Ji buvo priblokšta savo pasiekimais.; ;;ChatGPT;;3.7438747882843018;3.5559842586517334;-0.18789052963256836;incorrect
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Komanda buvo įkvėpta trenerio patarimų.;Komanda buvo įkvėpta trenerio patarimais.; ;;ChatGPT;;2.9716382026672363;2.7553882598876953;-0.21624994277954102;incorrect
;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Vaikai yra išties sužavėti mokytojų pasakojimų.;Vaikai yra išties sužavėti mokytojų pasakojimais.; ;;ChatGPT;;2.770226240158081;2.63496994972229;-0.13525629043579102;incorrect
68.0;1;Use of Cases;5;3.5 Instrumental case;3;3.5.3 Instrumental case should not be used to express the agent or cause of a state (but not the instrument) with passive participles.;1;;Buvome nuliūdinti tokio jo elgesio.;Buvome nuliūdinti tokiu jo elgesiu.; ;;vlkk;;4.381535530090332;4.213593482971191;-0.16794204711914062;incorrect
69.0;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Šio leidinio steigėjas yra mūsų institutas.;Šio leidinio steigėju yra mūsų institutas.; ;;vlkk;;2.669095754623413;2.8346121311187744;0.16551637649536133;correct
70.0;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Sprendžiant iš akcento, jis galėjo būti prancūzas. ;Sprendžiant iš akcento, jis galėjo būti prancūzu. ; ;;vlkk;;2.756638288497925;3.106884479522705;0.3502461910247803;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Mes esame šios komisijos nariai.;Mes esame šios komisijos nariais.; ;;internet;http://web.vu.lt › flf › 2014/03 › SK_2015_linksniai;3.7589004039764404;4.028035640716553;0.2691352367401123;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Finansavimo šaltinis yra paramos fondas.;Finansavimo šaltiniu yra paramos fondas.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;3.5620222091674805;3.564573049545288;0.002550840377807617;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Tas mokinys jam buvo geras draugas.;Tas mokinys jam buvo geru draugu.; ;;ChatGPT;;4.300353527069092;4.911332130432129;0.6109786033630371;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Šis miestas yra sostinė.;Šis miestas yra sostine.; ;;ChatGPT;;2.995527982711792;3.7462120056152344;0.7506840229034424;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Naujasis pastatas yra muziejus.;Naujasis pastatas yra muziejumi.; ;;ChatGPT;;3.1199028491973877;3.664705276489258;0.5448024272918701;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Jis yra profesionalus sportininkas.;Jis yra profesionaliu sportininku.; ;;ChatGPT;;4.3120503425598145;5.04971981048584;0.7376694679260254;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Biologijos pamokoje visi buvo aktyvūs dalyviai.;Biologijos pamokoje visi buvo aktyviais dalyviais.; ;;ChatGPT;;2.2150979042053223;2.895474910736084;0.6803770065307617;correct
71.0;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Kas buvo šios infekcijos priežastis?;Kas buvo šios infekcijos priežastimi?; ;;vlkk;;2.258458137512207;2.7172422409057617;0.4587841033935547;correct
72.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Sąraše jis buvo pirmasis, todėl atrodė toks patenkintas. ;Sąraše jis buvo pirmuoju, todėl atrodė tokiu patenkintu. ; ;;vlkk;;3.1648285388946533;3.5363388061523438;0.37151026725769043;correct
73.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Kas nenori tapti turtingesnis?;Kas nenori tapti turtingesniu?; ;;vlkk;;3.174362897872925;3.177502393722534;0.003139495849609375;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Pagrindinė derybų tema bus šilumos ūkio investicijos.;Pagrindine derybų tema bus šilumos ūkio investicijos.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;2.9383645057678223;3.2300374507904053;0.291672945022583;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Kiekvienas nori būti laimingas.;Kiekvienas nori būti laimingu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1005;1.812153697013855;2.307548761367798;0.49539506435394287;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Pirmas bus svarstomas klausimas dėl lėšų skyrimo.;Pirmu bus svarstomas klausimas dėl lėšų skyrimo.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1006;2.7136166095733643;4.198886871337891;1.4852702617645264;correct
74.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;2;instead of the genitive;Vien pinigai nepadaro žmogaus laimingo.;Vien pinigai nepadaro žmogaus laimingu.; ;;vlkk;;3.6775949001312256;3.3083488941192627;-0.3692460060119629;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;2;instead of the genitive;Visa tai nepalieka mūsų abejingų.;Visa tai nepalieka mūsų abejingais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1006;4.746140480041504;4.822136402130127;0.07599592208862305;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;2;instead of the genitive;Niekas negali versti kito būti visada atsakingo.;Niekas negali versti kito būti visada atsakingu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1007;3.2513725757598877;3.0797743797302246;-0.17159819602966309;incorrect
75.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Lengva žmogui būti geram, sunkiau – teisingam. ;Lengva žmogui būti geru, sunkiau – teisingu. ; ;;vlkk;;2.9230473041534424;3.0880582332611084;0.16501092910766602;correct
76.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Tai padėtų jam tapti profesionalesniam.;Tai padėtų jam tapti profesionalesniu.; ;;vlkk;;4.39603853225708;4.187849044799805;-0.2081894874572754;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Gera būti sveikiems.;Gera būti sveikais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1007;5.656892776489258;5.320165157318115;-0.3367276191711426;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Malonu būti pagirtiems.;Malonu būti pagirtais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1008;5.6306657791137695;6.408803462982178;0.7781376838684082;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Jiems grėsė pavojus būti sulaikytiems.;Jiems grėsė pavojus būti sulaikytais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1009;3.6176981925964355;3.4491689205169678;-0.16852927207946777;incorrect
77.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Sunkumai privertė ją būti taupesnę ir išradingesnę.;Sunkumai privertė ją būti taupesne ir išradingesne.; ;;vlkk;;3.7636830806732178;3.5565476417541504;-0.20713543891906738;incorrect
78.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Kas jį tokį padarė?;Kas jį tokiu padarė?; ;;vlkk;;3.661689281463623;3.595613956451416;-0.06607532501220703;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Šių reikalavimų nesilaikymas daro sutartis negaliojančias.;Šių reikalavimų nesilaikymas daro sutartis negaliojančiomis.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1010;1.9998849630355835;1.6833733320236206;-0.3165116310119629;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Mes stengiamės renginį padaryti linksmesnį, įdomesnį.;Mes stengiamės renginį padaryti linksmesniu, įdomesniu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1011;3.165182590484619;3.2792117595672607;0.1140291690826416;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Sprendimą jie paliko nepakeistą.;Sprendimą jie paliko nepakeistu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1012;4.3013787269592285;4.726136684417725;0.4247579574584961;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Visus kviečiame būti vieningus.;Visus kviečiame būti vieningais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1013;4.012929439544678;3.894312858581543;-0.11861658096313477;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Baudos verčia vairuotojus būti drausmingus.;Baudos verčia vairuotojus būti drausmingais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1014;3.365389347076416;3.186044931411743;-0.17934441566467285;incorrect
79.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Jį laikė gražiu, bet lengvabūdišku.;Jį laikė gražų, bet lengvabūdišką.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;vlkk;;2.5954039096832275;2.775524377822876;0.18012046813964844;correct
80.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Jis padėtį pavadino pavojinga.;Jis padėtį pavadino pavojingą.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;vlkk;;3.6450674533843994;3.9199817180633545;0.2749142646789551;correct
81.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Teismas jį pripažino nekaltu.;Teismas jį pripažino nekaltą.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;vlkk;;3.1252338886260986;3.207050323486328;0.08181643486022949;correct
82.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Po dvejų metų jaunuolį paskelbė dingusiu be žinios.;Po dvejų metų jaunuolį paskelbė dingusį be žinios.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.;ADDED THE INCORRECT ONE, but both are OK depending on the context. The incorrect one is more old school.;vlkk;;2.5038771629333496;2.584843158721924;0.08096599578857422;correct
83.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Jam netikėtai kilo puiki mintis.;Jame netikėtai kilo puiki mintis.; ;;vlkk;;4.4279704093933105;4.195488929748535;-0.2324814796447754;incorrect
84.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Mokytoja nuolat diegia savo mokiniams grožio supratimą ir ugdo jų gėrio pradus.;Mokytoja nuolat diegia savo mokiniuose grožio supratimą ir ugdo juose gėrio pradus.; ;;vlkk;;2.781247615814209;3.0779764652252197;0.29672884941101074;correct
85.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Kas jis labiau – humoristas ar žurnalistas?;Ko jame daugiau – humoristo ar žurnalisto?; ;;vlkk;;3.671861410140991;4.581297397613525;0.9094359874725342;correct
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Dauguma žmonių įžvelgia kito žmogaus klaidas.;Dauguma žmonių įžvelgia klaidas kitame žmoguje.; ;;internet;https://www.kurstoti.lt/s/13594/dazniausios-sintakses-sakiniu-sandaros-klaidos-abiturientu-vbe-rasiniuose;2.470789670944214;2.6422624588012695;0.17147278785705566;correct
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Jam vis labiau stiprėjo nerimas dėl artėjančio egzamino.;Jame vis labiau stiprėjo nerimas dėl artėjančio egzamino.; ;;ChatGPT;;2.9141745567321777;3.4662163257598877;0.55204176902771;correct
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Studentams kilo susidomėjimas nauju kursu.;Studentuose kilo susidomėjimas nauju kursu.; ;;ChatGPT;;5.586447715759277;3.7528254985809326;-1.8336222171783447;incorrect
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Vaikams ėmė rastis baimė dėl tamsos.;Vaikuose ėmė rastis baimė dėl tamsos.; ;;ChatGPT;;3.0090696811676025;3.2067527770996094;0.19768309593200684;correct
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Direktoriui sukilo abejonės dėl projekto sėkmės.;Direktoriuje sukilo abejonės dėl projekto sėkmės.; ;;ChatGPT;;3.091938018798828;3.5970449447631836;0.5051069259643555;correct
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Tėvams pabudo įtarimas, kad kažkas negerai.;Tėvuose pabudo įtarimas, kad kažkas negerai.; ;;ChatGPT;;2.5932111740112305;2.4898204803466797;-0.10339069366455078;incorrect
86.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Dar vaikystėje susiformavo būsimojo sportininko tvirtas charakteris.;Dar vaikystėje būsimajame sportininke susiformavo tvirtas charakteris.; ;;vlkk;;2.7795448303222656;3.333747625350952;0.5542027950286865;correct
87.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Ji gabi ir mokslui, ir sportui, ir muzikai.;Ji gabi ir moksle, ir sporte, ir muzikoje.; ;;vlkk;;3.434814929962158;4.397634506225586;0.9628195762634277;correct
88.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Spėjau įsitikinti jų teisingumu ir sąžiningumu.;Spėjau įsitikinti jų teisingume ir sąžiningume.; ;;vlkk;;2.3529484272003174;3.1521263122558594;0.799177885055542;correct
89.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Asmuo įtariamas sunkiu nusikaltimu.;Asmuo įtariamas sunkiame nusikaltime.; ;;vlkk;;3.3333630561828613;3.935231924057007;0.6018688678741455;correct
90.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Menkai nusimanau apie mašinas.;Menkai nusimanau mašinose.; ;;vlkk;;4.729117393493652;5.073184490203857;0.3440670967102051;correct
91.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Jis neblogai nusimano apie ekonomiką.;Jis neblogai nusimano ekonomikoje.; ;;vlkk;;3.938948154449463;4.560333728790283;0.6213855743408203;correct
92.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Ką jis nutuokia apie tą tapybą?;Ką jis nutuokia toje tapyboje?; ;;vlkk;;2.8137311935424805;3.771416664123535;0.9576854705810547;correct
;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Daug žinau apie istoriją.;Daug žinau istorijoje.; ;;ChatGPT;;3.2587594985961914;4.462122917175293;1.2033634185791016;correct
;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Jis labai patyręs finansų srityje.;Jis labai patyręs finansuose.; ;;ChatGPT;;3.69936203956604;4.062597274780273;0.3632352352142334;correct
;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Ji nuolat tobulėja viešojo kalbėjimo srityje.;Ji nuolat tobulėja viešajame kalbėjime.; ;;ChatGPT;;3.371156930923462;3.6067123413085938;0.23555541038513184;correct
