sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;google_gemma-3-270m_correct_nll;google_gemma-3-270m_incorrect_nll;google_gemma-3-270m_certainty;google_gemma-3-270m_decision
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Finansavimo šaltinis yra paramos fondas.;Finansavimo šaltiniu yra paramos fondas.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;5.116274833679199;5.571732997894287;0.4554581642150879;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Tas mokinys jam buvo geras draugas.;Tas mokinys jam buvo geru draugu.; ;;ChatGPT;;8.42695426940918;9.048623085021973;0.621668815612793;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Šis miestas yra sostinė.;Šis miestas yra sostine.; ;;ChatGPT;;6.0082197189331055;6.612443923950195;0.6042242050170898;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Naujasis pastatas yra muziejus.;Naujasis pastatas yra muziejumi.; ;;ChatGPT;;6.506016731262207;6.961714744567871;0.45569801330566406;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Jis yra profesionalus sportininkas.;Jis yra profesionaliu sportininku.; ;;ChatGPT;;5.440821647644043;6.34521484375;0.904393196105957;correct
;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Biologijos pamokoje visi buvo aktyvūs dalyviai.;Biologijos pamokoje visi buvo aktyviais dalyviais.; ;;ChatGPT;;5.169612884521484;5.251598358154297;0.0819854736328125;correct
71.0;1;Use of Cases;5;3.5 Instrumental case;4;3.5.4 Instrumental case should not be used with forms of the verb būti to express a permanent (unchanging) state.;1;;Kas buvo šios infekcijos priežastis?;Kas buvo šios infekcijos priežastimi?; ;;vlkk;;4.242152690887451;4.913915157318115;0.6717624664306641;correct
72.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Sąraše jis buvo pirmasis, todėl atrodė toks patenkintas. ;Sąraše jis buvo pirmuoju, todėl atrodė tokiu patenkintu. ; ;;vlkk;;5.401320457458496;5.259541988372803;-0.14177846908569336;incorrect
73.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Kas nenori tapti turtingesnis?;Kas nenori tapti turtingesniu?; ;;vlkk;;8.0265474319458;8.346707344055176;0.320159912109375;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Pagrindinė derybų tema bus šilumos ūkio investicijos.;Pagrindine derybų tema bus šilumos ūkio investicijos.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;3.8657386302948;4.723158359527588;0.8574197292327881;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Kiekvienas nori būti laimingas.;Kiekvienas nori būti laimingu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1005;5.321190357208252;6.083844184875488;0.7626538276672363;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;1;instead of the nominative;Pirmas bus svarstomas klausimas dėl lėšų skyrimo.;Pirmu bus svarstomas klausimas dėl lėšų skyrimo.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1006;5.804508686065674;7.625520706176758;1.821012020111084;correct
74.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;2;instead of the genitive;Vien pinigai nepadaro žmogaus laimingo.;Vien pinigai nepadaro žmogaus laimingu.; ;;vlkk;;7.096861362457275;6.8064422607421875;-0.2904191017150879;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;2;instead of the genitive;Visa tai nepalieka mūsų abejingų.;Visa tai nepalieka mūsų abejingais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1006;8.044899940490723;8.01586627960205;-0.029033660888671875;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;2;instead of the genitive;Niekas negali versti kito būti visada atsakingo.;Niekas negali versti kito būti visada atsakingu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1007;6.408491611480713;6.359288692474365;-0.049202919006347656;incorrect
75.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Lengva žmogui būti geram, sunkiau – teisingam. ;Lengva žmogui būti geru, sunkiau – teisingu. ; ;;vlkk;;6.145956039428711;6.133362770080566;-0.012593269348144531;incorrect
76.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Tai padėtų jam tapti profesionalesniam.;Tai padėtų jam tapti profesionalesniu.; ;;vlkk;;8.98458480834961;9.126289367675781;0.14170455932617188;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Gera būti sveikiems.;Gera būti sveikais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1007;7.99429178237915;9.02963638305664;1.0353446006774902;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Malonu būti pagirtiems.;Malonu būti pagirtais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1008;10.505402565002441;9.537446022033691;-0.96795654296875;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;3;instead of the dative;Jiems grėsė pavojus būti sulaikytiems.;Jiems grėsė pavojus būti sulaikytais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1009;5.8288655281066895;6.05086612701416;0.2220005989074707;correct
77.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Sunkumai privertė ją būti taupesnę ir išradingesnę.;Sunkumai privertė ją būti taupesne ir išradingesne.; ;;vlkk;;6.6707963943481445;6.7284650802612305;0.05766868591308594;correct
78.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Kas jį tokį padarė?;Kas jį tokiu padarė?; ;;vlkk;;5.616024971008301;6.032247543334961;0.41622257232666016;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Šių reikalavimų nesilaikymas daro sutartis negaliojančias.;Šių reikalavimų nesilaikymas daro sutartis negaliojančiomis.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1010;4.079960346221924;4.084328651428223;0.004368305206298828;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Mes stengiamės renginį padaryti linksmesnį, įdomesnį.;Mes stengiamės renginį padaryti linksmesniu, įdomesniu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1011;6.003249645233154;6.313100814819336;0.30985116958618164;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Sprendimą jie paliko nepakeistą.;Sprendimą jie paliko nepakeistu.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1012;5.881340026855469;6.707602500915527;0.8262624740600586;correct
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Visus kviečiame būti vieningus.;Visus kviečiame būti vieningais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1013;8.10156536102295;7.887806415557861;-0.2137589454650879;incorrect
;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.;4;instead of the accusative;Baudos verčia vairuotojus būti drausmingus.;Baudos verčia vairuotojus būti drausmingais.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1014;7.46112585067749;7.35966682434082;-0.10145902633666992;incorrect
79.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Jį laikė gražiu, bet lengvabūdišku.;Jį laikė gražų, bet lengvabūdišką.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;vlkk;;5.894675254821777;5.445434093475342;-0.44924116134643555;incorrect
80.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Jis padėtį pavadino pavojinga.;Jis padėtį pavadino pavojingą.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;vlkk;;6.944108486175537;6.461240291595459;-0.4828681945800781;incorrect
81.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Teismas jį pripažino nekaltu.;Teismas jį pripažino nekaltą.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.; ADDED THE INCORRECT ONE, and it is actually incorrect.;vlkk;;6.244699478149414;6.248696804046631;0.003997325897216797;correct
82.0;1;Use of Cases;5;3.5 Instrumental case;5;3.5.5 The instrumental of adjectives (and words used adjectivally) should not be used to express a state.; ;;Po dvejų metų jaunuolį paskelbė dingusiu be žinios.;Po dvejų metų jaunuolį paskelbė dingusį be žinios.;Su veiksmažodžiais laikyti, (pa)skelbti, (pa)vadinti, pripažinti įnagininkas – ne klaida.;ADDED THE INCORRECT ONE, but both are OK depending on the context. The incorrect one is more old school.;vlkk;;5.852804660797119;5.652988910675049;-0.1998157501220703;incorrect
83.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Jam netikėtai kilo puiki mintis.;Jame netikėtai kilo puiki mintis.; ;;vlkk;;7.835414409637451;7.511344909667969;-0.3240694999694824;incorrect
84.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Mokytoja nuolat diegia savo mokiniams grožio supratimą ir ugdo jų gėrio pradus.;Mokytoja nuolat diegia savo mokiniuose grožio supratimą ir ugdo juose gėrio pradus.; ;;vlkk;;7.531603813171387;7.4398393630981445;-0.09176445007324219;incorrect
85.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Kas jis labiau – humoristas ar žurnalistas?;Ko jame daugiau – humoristo ar žurnalisto?; ;;vlkk;;7.761918544769287;6.762640476226807;-0.9992780685424805;incorrect
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Dauguma žmonių įžvelgia kito žmogaus klaidas.;Dauguma žmonių įžvelgia klaidas kitame žmoguje.; ;;internet;https://www.kurstoti.lt/s/13594/dazniausios-sintakses-sakiniu-sandaros-klaidos-abiturientu-vbe-rasiniuose;4.935888290405273;5.774503707885742;0.8386154174804688;correct
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Jam vis labiau stiprėjo nerimas dėl artėjančio egzamino.;Jame vis labiau stiprėjo nerimas dėl artėjančio egzamino.; ;;ChatGPT;;7.728294849395752;7.249452590942383;-0.47884225845336914;incorrect
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Studentams kilo susidomėjimas nauju kursu.;Studentuose kilo susidomėjimas nauju kursu.; ;;ChatGPT;;8.512534141540527;7.208285808563232;-1.304248332977295;incorrect
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Vaikams ėmė rastis baimė dėl tamsos.;Vaikuose ėmė rastis baimė dėl tamsos.; ;;ChatGPT;;5.378547191619873;5.169811248779297;-0.20873594284057617;incorrect
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Direktoriui sukilo abejonės dėl projekto sėkmės.;Direktoriuje sukilo abejonės dėl projekto sėkmės.; ;;ChatGPT;;6.058019638061523;5.837026596069336;-0.2209930419921875;incorrect
;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Tėvams pabudo įtarimas, kad kažkas negerai.;Tėvuose pabudo įtarimas, kad kažkas negerai.; ;;ChatGPT;;4.856059551239014;4.745729446411133;-0.11033010482788086;incorrect
86.0;1;Use of Cases;6;3.6 Locative case;1;3.6.1 Locative case should not be used to express the experiencer of a state.;1;;Dar vaikystėje susiformavo būsimojo sportininko tvirtas charakteris.;Dar vaikystėje būsimajame sportininke susiformavo tvirtas charakteris.; ;;vlkk;;5.5111494064331055;5.58523416519165;0.07408475875854492;correct
87.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Ji gabi ir mokslui, ir sportui, ir muzikai.;Ji gabi ir moksle, ir sporte, ir muzikoje.; ;;vlkk;;5.861017227172852;6.186652183532715;0.3256349563598633;correct
88.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Spėjau įsitikinti jų teisingumu ir sąžiningumu.;Spėjau įsitikinti jų teisingume ir sąžiningume.; ;;vlkk;;4.706828594207764;4.834749221801758;0.12792062759399414;correct
89.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Asmuo įtariamas sunkiu nusikaltimu.;Asmuo įtariamas sunkiame nusikaltime.; ;;vlkk;;5.125468730926514;6.023151874542236;0.8976831436157227;correct
90.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Menkai nusimanau apie mašinas.;Menkai nusimanau mašinose.; ;;vlkk;;8.794629096984863;9.219342231750488;0.424713134765625;correct
91.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Jis neblogai nusimano apie ekonomiką.;Jis neblogai nusimano ekonomikoje.; ;;vlkk;;8.186970710754395;8.457500457763672;0.27052974700927734;correct
92.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Ką jis nutuokia apie tą tapybą?;Ką jis nutuokia toje tapyboje?; ;;vlkk;;7.256524562835693;7.519501686096191;0.26297712326049805;correct
;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Daug žinau apie istoriją.;Daug žinau istorijoje.; ;;ChatGPT;;5.6863274574279785;6.509876251220703;0.8235487937927246;correct
;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Jis labai patyręs finansų srityje.;Jis labai patyręs finansuose.; ;;ChatGPT;;5.29180908203125;7.223735809326172;1.9319267272949219;correct
;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Ji nuolat tobulėja viešojo kalbėjimo srityje.;Ji nuolat tobulėja viešajame kalbėjime.; ;;ChatGPT;;5.5318603515625;6.088893413543701;0.5570330619812012;correct
93.0;1;Use of Cases;6;3.6 Locative case;2;3.6.2 Locative case should not be used to express the domain of an action, state, or quality (but not a place).;1;;Prisipažino mylįs.;Prisipažino meilėje.; ;;vlkk;;6.613771915435791;6.78342342376709;0.16965150833129883;correct
94.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;1;apimtyje;Atlikome plačios apimties tyrimus.;Atlikome tyrimus plačioje apimtyje.; ;;vlkk;;8.138062477111816;7.234364986419678;-0.9036974906921387;incorrect
95.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;2;atstume;Kelių metrų atstumu pamačiau gyvatę.;Kelių metrų atstume pamačiau gyvatę.; ;;vlkk;;5.477095603942871;5.887925624847412;0.410830020904541;correct
96.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;3;aukštumoje;Vakar tu pasirodei gerai.;Vakar tu pasirodei aukštumoje.; ;;vlkk;;7.767425537109375;7.3902201652526855;-0.37720537185668945;incorrect
97.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;4;būklėje;Pastatai palikti apgailėtinos būklės.;Pastatai palikti apgailėtinoje būklėje.; ;;vlkk;;7.206513404846191;7.423286437988281;0.21677303314208984;correct
98.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;4;būklėje;Namas yra avarinės būklės.;Namas yra avarinėje būklėje.; ;;vlkk;;5.621090888977051;6.234002590179443;0.6129117012023926;correct
99.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;5;dvitomyje;Raštai išleisti dvitomiu.;Raštai išleisti dvitomyje.; ;;vlkk;;6.974586486816406;6.694192886352539;-0.2803936004638672;incorrect
100.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;6;egzemplioriuje;Tekstas perrašytas trimis egzemplioriais.;Tekstas perrašytas trijuose egzemplioriuose.; ;;vlkk;;6.554788589477539;6.942235946655273;0.3874473571777344;correct
101.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;6;egzemplioriuje;Išspausdink penkis egzempliorius.;Išspausdink penkiuose egzemplioriuose.; ;;vlkk;;5.847334861755371;6.261039733886719;0.41370487213134766;correct
102.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;7;etate;Dirba dviem etatais.;Dirba dviejuose etatuose.; ;;vlkk;;9.176594734191895;8.478667259216309;-0.6979274749755859;incorrect
103.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;8;formoje;Sportininkas šiandien blogos formos.;Sportininkas šiandien ne formoje.; ;;vlkk;;5.65067195892334;6.237654209136963;0.586982250213623;correct
104.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;8;formoje;Serga tymais lengva forma.;Serga tymais lengvoje formoje.; ;;vlkk;;8.739913940429688;9.381612777709961;0.6416988372802734;correct
105.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;8;formoje;Kokia forma atsiskaitysime?;Kokioje formoje atsiskaitysime?; ;;vlkk;;9.761799812316895;10.289336204528809;0.5275363922119141;correct
106.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;8;formoje;Nusipirkau forminio kumpio.;Nusipirkau kumpio formoje.; ;;vlkk;;7.628969192504883;7.362995624542236;-0.2659735679626465;incorrect
107.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;9;galioje;Šis įstatymas tebegalioja.;Šis įstatymas tebėra galioje.; ;;vlkk;;5.961754322052002;5.172226428985596;-0.7895278930664062;incorrect
108.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;10;kalboje;Skaitė paskaitą lietuvių kalba.;Skaitė paskaitą lietuvių kalboje.; ;;vlkk;;4.344179630279541;4.500655651092529;0.15647602081298828;correct
109.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;10;kalboje;Knyga išėjo anglų ir švedų kalbomis.;Knyga išėjo anglų ir švedų kalbose.; ;;vlkk;;4.207667827606201;4.633848190307617;0.426180362701416;correct
110.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;11;kame;Koks čia reikalas?;Kame čia reikalas?; ;;vlkk;;8.262261390686035;9.030936241149902;0.7686748504638672;correct
111.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;12;kryptyje;Apgynė edukologijos krypties disertaciją.;Apgynė disertaciją edukologijos kryptyje.; ;;vlkk;;6.8729987144470215;7.286204814910889;0.4132061004638672;correct
112.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;13;lygyje;Konkursas buvo aukšto lygio.;Konkursas vyko aukštame lygyje.; ;;vlkk;;6.122817039489746;8.398353576660156;2.27553653717041;correct
113.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;14;medžiagoje;Tas paminklas, nukaltas iš granito, yra nesugriaunamas ir nesunaikinamas.;Tas paminklas, nukaltas granite, yra nesugriaunamas ir nesunaikinamas.; ;Created a full sentence by looking at the corpus.;vlkk;;6.485392093658447;6.8873066902160645;0.4019145965576172;correct
114.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;14;medžiagoje;Jis pasišovė nulieti skulptūrą iš bronzos.;Jis pasišovė nulieti skulptūrą bronzoje.; ;Created a full sentence by looking at the corpus.;vlkk;;6.506707668304443;6.782097339630127;0.2753896713256836;correct
115.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;15;normoje;Prietaisas jau veikia normaliai.;Prietaisas jau normoje.; ;;vlkk;;7.80305814743042;9.103131294250488;1.3000731468200684;correct
116.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;15;normoje;Jo kraujospūdis normalus.;Jo kraujospūdis normoje.; ;Added 'Jo' to make a full sentence.;vlkk;;9.690375328063965;10.093921661376953;0.4035463333129883;correct
117.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;15;normoje;Darbe viskas normalu.;Darbe viskas normoje.; ;Added 'Darbe' to make a full sentence.;vlkk;;9.893406867980957;11.625038146972656;1.7316312789916992;correct
118.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;16;nuosavybėje;Inventorius yra mokyklos nuosavybė.;Inventorius yra mokyklos nuosavybėje.; ;;vlkk;;4.752027988433838;4.845766544342041;0.09373855590820312;correct
119.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;17;nuotaikoje;Vakar buvau be nuotaikos.;Vakar buvau ne nuotaikoje.; ;;vlkk;;8.171651840209961;7.694768905639648;-0.4768829345703125;incorrect
120.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;18;nuotolyje;Jų namai stovi už kelių kilometrų nuo ežero.;Jų namai stovi kelių kilometrų nuotolyje nuo ežero.; ;;vlkk;;4.267128944396973;4.899013519287109;0.6318845748901367;correct
121.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;19;originale;Pagaliau pamatėme to paveikslo originalą.;Pagaliau pamatėme tą paveikslą originale.; ;;vlkk;;6.734838962554932;6.477574825286865;-0.2572641372680664;incorrect
122.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;19;originale;Romaną buvau skaitęs originalo kalba.;Romaną buvau skaitęs originale.; ;;vlkk;;7.541616439819336;8.911249160766602;1.3696327209472656;correct
123.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;20;pardavime;Šiandien parduodama trijų rūšių mėsa.;Šiandien pardavime yra trijų rūšių mėsos.; ;;vlkk;;4.378558158874512;4.38295316696167;0.004395008087158203;correct
124.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;21;pavidale;Prekės gautos fasuotos.;Prekės gautos fasuotame pavidale.; ;;vlkk;;6.040827751159668;5.951742649078369;-0.08908510208129883;incorrect
125.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;21;pavidale;Po reakcijos gavome medžiagą kristalų pavidalo.;Po reakcijos gavome medžiagą kristalų pavidale.; ;;vlkk;;6.463214874267578;6.9036359786987305;0.44042110443115234;correct
126.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;22;rankraštyje;Kiek metų tas romanas buvo rankraštis?;Kiek metų tas romanas buvo rankraštyje?; ;;vlkk;;6.249141693115234;6.416095733642578;0.16695404052734375;correct
127.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;22;rankraštyje;Skaičiau šio veikalo rankraštį.;Skaičiau šį veikalą rankraštyje.; ;;vlkk;;6.077844619750977;5.232783317565918;-0.8450613021850586;incorrect
128.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;23;ryšyje su;Augalai yra glaudžiai susiję su dirvožemiu.;Augalai yra glaudžiame ryšyje su dirvožemiu.; ;;vlkk;;4.92196798324585;5.1225666999816895;0.20059871673583984;correct
129.0;1;Use of Cases;6;3.6 Locative case;3;3.6.3 Locative case should not be used to express the state, condition, or characteristic of a thing.;24;ritme;Šokite valso ritmu.;Šokite valso ritme.; ;;vlkk;;7.372620582580566;7.281979084014893;-0.09064149856567383;incorrect
